__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30898559,2022-09-07T20:59:48.000Z,Help Us Save Others on Oklahoma's Death Row,"<p>Friend,</p>
<p>You may have already seen this update. But as someone invested in the liberation of Julius Jones, an innocent Black man who you helped free from death row last year, we wanted to make sure you had an opportunity to learn what's happening in Oklahoma right now and take action.</p>
<p>Twenty five people have been set to be killed by the state. One person, James Coddington, was already killed two weeks ago despite the Oklahoma Parole and Pardon's board voting for clemency.</p>
<p>Governor Stitt ignored his own appointed Parole and Pardons board, and chose death instead!</p>
<p>The people scheduled for execution include cases with serious claims of innocence and racial bias, just like Julius’ case. Others include severe mental illness, intellectual disability, exorbitant childhood trauma and abuse. These cases reveal deep systemic flaws in Oklahoma’s capital punishment system and illustrate the egregious unfairness and cruelty of the death penalty in general.</p>
<p>But it's never too late. If enough people make noise, we can push Governor Stitt to issue a moratorium on the death penalty.</p>
<p>TAKE ACTION NOW - SIGN THE PETITION!</p>
<p><a href=""https://witnesstoinnocence.salsalabs.org/stopoklahomaexecutions/index.html"" rel=""nofollow"">https://witnesstoinnocence.salsalabs.org/stopoklahomaexecutions/index.html</a></p>",,,,
StarterPetitionUpdate,30839715,2022-08-17T20:08:31.000Z,Julius' Execution was Stopped...Now We Need to Stop Oklahoma from Executing the Next 25,"<p>Dear friends,</p>
<p><br>It’s been almost 1 year since you and 6 million others around the country took action to help successfully stop the execution of Julius Jones! We’re reaching out on behalf of Julius today to request your help to save lives in Oklahoma once again. </p>
<p><br>Right now there are 25 people scheduled for execution in Oklahoma. We can stop these executions by once again pushing the Governor to take action and issue a moratorium on the death penalty. </p>
<p><br><a href=""http://bit.ly/oklahoma25"" target=""_blank"" rel=""nofollow"">Sign the petition</a>: Governor Stitt, please issue a death penalty moratorium and save the lives of 25 people today!</p>
<p><br>Together we helped save Julius, a Black man who has spent the past 20 years on death row for a crime he did not commit. Though Julius is no longer on death row, he’s still serving a life sentence without the possibility of parole despite being innocent. Our fight for Julius’s liberation is not over. But as we continue to strategize for Julius’ freedom, we must also work to shut down the death penalty system that threatened his life in the first place. </p>
<p><br>The 25 people scheduled for execution include cases with serious claims of innocence and racial bias, just like Julius’ case. Others include severe mental illness, intellectual disability, exorbitant childhood trauma and abuse. These cases reveal deep systemic flaws in Oklahoma’s capital punishment system and illustrate the egregious unfairness and cruelty of the death penalty in general. </p>
<p><br>Together we can end the cruelty of Oklahoma’s death penalty. </p>
<p><br>Mama Jones, Antoinette Jones, Jabee Williams, and me - Cece Jones-Davis, continue to fight for justice for Julius and others impacted by the death penalty in Oklahoma because we know too well how evil this system is. We believe that the only way to be certain that the state never puts another innocent person on death row again, is to stop this death machine all together. </p>
<p><br>This is why we’ve teamed up with death row exonerees from the organization, Witness to Innocence to implore Governor Stitt to issue a moratorium on the Oklahoma death penalty TODAY. </p>
<p><br>Join us in the fight for justice! <a href=""http://bit.ly/oklahoma25"" target=""_blank"" rel=""nofollow"">Sign the petition</a> today. </p>","{'id': '226806983', 'petitionMedium': {'url': '//assets.change.org/photos/6/zv/zb/oUZVzBHTlvCINbn-800x450-noPad.jpg?1660766919', 'processing': False}}",,,
StarterPetitionUpdate,30049482,2022-01-10T16:21:51.000Z,Oklahoma Almost Killed Julius Jones - An Innocent Man. Death Row Must Go.,"<p><strong>Happy New Year to all Justice for Julius Supporters, </strong></p>
<p>You ventured with us through the unimaginable at the end of 2021. Julius Jones' life was spared just hours before the scheduled execution, and we are relieved that he is alive. We are more determined now more than ever to continue seeking justice for him, and address the social issues that have caused him and his family such pain for decades. </p>
<p>That said, the death penalty must go. </p>
<p>It almost killed an innocent man in Oklahoma in November. It <em>has</em> killed innocent people in the past. It will continue to threaten the lives of wrongfully convicted human beings if we do not dismantle it. Now. </p>
<p>We would love your support in calling for an end to Federal executions by signing our partner, Death Penalty Action's, <a href=""https://actionnetwork.org/petitions/urge-biden-garland-congress-scotus-end-death-penalty-now"" target=""_blank"" rel=""nofollow"">petition</a> TODAY. </p>
<p>Thank you for your support. Stay with Justice for Julius in 2022 as we continue to fight for freedom for Julius Jones.</p>
<p>Sincerely, </p>
<p>Cece</p>
<p> </p>
<p> </p>
<p> </p>",,,"{'providerName': 'Actionnetwork', 'photoUrl': 'https://can2-prod.s3.amazonaws.com/share_options/facebook_images/000/338/819/original/Abolish___Demolish_FB_2.png', 'description': 'PETITION DELIVERY JAN 17, 2022 - Please sign & share to urge President Biden, Merrick Garland, the US Congress (and the US Supreme Court) to commute all federal and military death sentences and to work with Congress to pass the Federal Death Penalty Prohibition Act of 2021.'}",
StarterPetitionUpdate,29865102,2021-11-19T22:18:13.000Z,Julius Lives!,"<p>Julius’ execution has been called off. Only three hours before he was scheduled to be executed, the governor commuted his sentence to life without the possibility of parole. </p>
<p>We are crying tears of relief. After such a long, hard fight, Julius will live to see another day — and that is thanks to you. Thank you for every signature, every tweet, every phone call and share. We made it politically impossible for Governor Stitt to allow Julius to die. </p>
<p><strong>Today we celebrate. Tomorrow we keep fighting.</strong> Julius still is not free. He deserves to walk out of jail and go home to his family, to be surrounded in love.</p>
<p>The fight ahead will be long, and we’re going to need all the power we can muster. Stay tuned. </p>
<p>Cece </p>",,,,
StarterPetitionUpdate,29858761,2021-11-18T14:49:42.000Z,URGENT: Stop Julius’ execution today,"<p><strong>Julius will be executed today at 4 PM, unless you do something NOW. The only thing standing between him and the execution chamber is immense public pressure on Governor Stitt to do the right thing. </strong>If we can’t achieve that, an innocent man will be killed by our “justice” system. “This is not about hate,” Julius Jones said in his clemency hearing. “This is just about the truth. <strong>And the truth is, I didn’t shoot that man.”</strong></p>
<p><a href=""callforjulius.com"" target=""_blank"" rel=""nofollow""><strong>Will you please take 3 minutes to call Governor Stitt and urge him to cancel an unjust execution? We have just a few hours to convince him.</strong></a></p>
<p><strong>For those in Oklahoma</strong>, please join us today for our Freedom Vigil from 8 am to 12 pm. We will be stationed at 1301 N West St. McAlester, OK. <a href=""https://www.instagram.com/p/CWZdR1rJOa2/"" target=""_blank"" rel=""nofollow"">Event details here.</a></p>
<p>What happens today will determine if Julius’ family ever gets to see him again. If his mother ever gets to hug her son again.</p>
<p><strong>Make the call. We need you now more than ever.</strong></p>
<p>Team Justice for Julius</p>","{'id': '226108785', 'petitionMedium': {'url': '//assets.change.org/photos/2/gr/fa/TlGrFANLKjRVNDy-800x450-noPad.jpg?1637246985', 'processing': False}}",,,
StarterPetitionUpdate,29854361,2021-11-17T15:53:15.000Z,LAST CHANCE TO SAVE JULIUS,"<p><strong>Julius Jones’ execution is scheduled for tomorrow. Julius’ mother is the strongest woman in the world.</strong> Today, her eyes are closed in the back seat. I asked her how she was doing. She said, <strong>“I’m empty inside. I feel invisible.” This life owes Black women more than this.</strong></p>
<p><a href=""callforjulius.com"" target=""_blank"" rel=""nofollow""><strong>Will you call Governor Stitt and urge him to adopt the recommendation from his own Pardon and Parole Board and grant Julius clemency? We have 24 hours.</strong></a></p>
<p>Julius and his family are counting on us. We have 24 hours to save an innocent man from execution.</p>
<p>Team Justice for Julius</p>","{'id': '226103710', 'petitionMedium': {'url': '//assets.change.org/photos/0/lp/ia/rtLPiAvqBoeikxA-800x450-noPad.jpg?1637164399', 'processing': False}}",,,
StarterPetitionUpdate,29854320,2021-11-17T15:45:05.000Z,"Julius Rallies Today: OK, LA, NYC, DC, NJ, MN","<p><strong>Julius Jones’ execution is scheduled for tomorrow.</strong> He currently sits on death watch. Unless Governor Stitt takes action, today will be the last time Julius ever sees his family.</p>
<p><strong>SHOW UP FOR JULIUS TODAY IN OKLAHOMA, LA, NYC, DC, NEWARK AND MINNEAPOLIS.</strong></p>
<p><a href=""https://twitter.com/justice4julius/status/1460840798770114561"" target=""_blank"" rel=""nofollow""><strong>EVENT DETAILS HERE</strong></a><br><strong>Oklahoma City:</strong> 8 AM - 5 PM CT at the State Capitol in front of Gov. Stitt's office on the 2nd floor<br><strong>Los Angeles:</strong> 12 PM PT on the Steps of City Hall<br><strong>New York:</strong> 3 - 5 PM ET at Washington Square Park near the large arches, look for balloons<br><strong>Washington, DC:</strong> 1 PM ET at the Intersection of 9th and Pennsylvania Ave<br><strong>Newark:</strong> 3 PM ET at the Intersection of Broad St and Market St<br><strong>Minneapolis:</strong> 2 PM CT across from the Governor's Mansion at 1006 Summit Ave, St. Paul</p>
<p><a href=""callforjulius.com"" target=""_blank"" rel=""nofollow"">If you are not able to attend an event, help us save Julius by making a quick call to Governor Stitt.</a></p>
<p><strong>We hope to see you there. We have 24 hours to save Julius.</strong></p>
<p>Team Justice for Julius</p>","{'id': '226103690', 'petitionMedium': {'url': '//assets.change.org/photos/1/vw/vj/fwVWVJGcVjtbXKR-800x450-noPad.jpg?1637163907', 'processing': False}}",,,
StarterPetitionUpdate,29851457,2021-11-16T22:18:42.000Z,URGENT: Stop a Thursday Execution,"<p><strong>Last night, the Jones family showed up at Governor Stitt’s office– and <a href=""https://www.the-sun.com/news/4073936/julius-jones-execution-mom-begs-oklahoma-governor/"" target=""_blank"" rel=""nofollow"">he declined to meet with them</a>.</strong> Governor Stitt has the power to stop this execution and grant Julius life with the possibility of parole. We have just days to convince the governor to adopt this recommendation. <strong>If not, Julius will be sent to the execution chamber this Thursday.</strong></p>
<p><a href=""callforjulius.com"" target=""_blank"" rel=""nofollow""><strong>Will you take a minute to call the governor for Julius? This is life or death.</strong></a></p>
<p><strong>We have until Thursday to convince him to free Julius. He’s counting on us.</strong></p>
<p>Team Justice for Julius</p>",,,"{'providerName': 'Change.org', 'photoUrl': 'https://p2a-images.s3.amazonaws.com/production/customers/2423/qcRI4KM1L0objRO39jAq15913795866306', 'description': 'I just called Oklahoma Gov. Stitt to demand clemency for Julius Jones. Will you speak up for an innocent man? Change.org/JusticeForJulius'}",
StarterPetitionUpdate,29846974,2021-11-15T22:23:24.000Z,Hear Julius Speak (clemency hearing footage),"<p>Last week, for the first time in 22 years, Julius Jones told his story: <strong>“I’m here to tell you what I never got to tell the jury in my trial.”</strong> Julius stood by the fact that he has “never been a violent man” and urged the Board to <strong>“examine who I am and not the fear that’s been talked about me.”</strong></p>
<p><a href=""https://www.instagram.com/p/CV_N3yPhTQY/"" target=""_blank"" rel=""nofollow""><strong>Watch &amp; share this 2 minute video of Julius Jones' story, in his own words.</strong></a></p>
<p><strong>As Julius gets closer to his execution date, they are moving his cell closer and closer to the execution site.</strong> Share Julius’ story with your community. This is life or death.</p>
<p><strong>We have four days to free Julius.</strong></p>
<p>Team Justice for Julius</p>","{'id': '226097673', 'petitionMedium': {'url': '//assets.change.org/photos/3/ej/jd/OTEjJDRqlqzzzlk-800x450-noPad.jpg?1637015006', 'processing': False}}",,,
StarterPetitionUpdate,29822032,2021-11-09T14:46:37.000Z,Julius Jones is on death watch,"<p>Julius Jones is on death watch – that means Julius is alone in a windowless cell, watched by a guard and camera 24/7. The only personal items he is allowed are a Bible, family photos, a pen, and paper. He is only allowed three showers a week. Julius is scheduled for execution on November 18th.</p>
<p><strong>Julius will sit here until the day he dies unless Governor Stitt grants him clemency before November 18th.</strong></p>
<p><a href=""https://p2a.co/b8JuoUe"" target=""_blank"" rel=""nofollow""><strong>Will you call Governor Stitt and urge him to adopt the Pardon and Parole Board’s recommendation for clemency?</strong></a></p>
<p>We are down to the wire. If Governor Stitt does not approve the recommendation in 9 days, Julius will be executed. Call Governor Stitt and help us free Julius.</p>
<p>– Team Justice for Julius</p>","{'id': '226075535', 'petitionMedium': {'url': '//assets.change.org/photos/7/ux/lw/hquXlWQyHLCmMGq-800x450-noPad.jpg?1636469199', 'processing': False}}",,,
